time,userid,id,lat,lng
Mon Feb 04 16:32:30 +0000 2019,28457303,1092460903054753793,39.8814224,-83.003942
Mon Feb 04 09:27:18 +0000 2019,930775286,1092353896566214656,39.87494,-83.00395
Fri Feb 01 18:35:13 +0000 2019,930775286,1091404622420500480,39.87494,-83.00395
Fri Feb 01 14:39:07 +0000 2019,930775286,1091345205872214017,39.87494,-83.00395
Fri Feb 01 13:33:01 +0000 2019,930775286,1091328568028729345,39.87494,-83.00395
Fri Feb 08 23:39:03 +0000 2019,62111918,1094017799150817281,40.0869,-83.0175
Sat Feb 02 20:59:41 +0000 2019,1076885569,1091803364638117888,40.08172,-83.02733
Sat Feb 02 19:42:09 +0000 2019,62111918,1091783852748693505,40.0869,-83.0175
Sat Feb 09 17:56:56 +0000 2019,81903111,1094294088508035072,39.99299,-82.92234
Fri Feb 08 17:10:22 +0000 2019,81903111,1093919981064974336,39.99299,-82.92234
Fri Feb 08 15:07:45 +0000 2019,930775286,1093889125197991938,39.99443,-82.93385
Fri Feb 08 00:38:56 +0000 2019,81903111,1093670478181474306,39.99299,-82.92234
Thu Feb 07 22:32:31 +0000 2019,81903111,1093638664238682112,39.99299,-82.92234
Thu Feb 07 19:37:10 +0000 2019,81903111,1093594536478035968,39.99299,-82.92234
Wed Feb 06 17:19:47 +0000 2019,81903111,1093197577711833089,39.99299,-82.92234
Tue Feb 05 23:06:13 +0000 2019,930775286,1092922370711584768,39.99443,-82.93385
Tue Feb 05 22:32:44 +0000 2019,930775286,1092913944656793602,39.99443,-82.93385
Tue Feb 05 22:09:36 +0000 2019,930775286,1092908122665041921,39.99443,-82.93385
Tue Feb 05 22:00:24 +0000 2019,930775286,1092905809640677381,39.99443,-82.93385
Mon Feb 04 12:55:48 +0000 2019,930775286,1092406367250509824,39.98453,-82.91403
Sun Feb 03 00:45:42 +0000 2019,81903111,1091860244093853698,39.99299,-82.92234
Sat Feb 02 17:28:49 +0000 2019,81903111,1091750299881091072,39.99299,-82.92234
Sat Feb 02 11:28:36 +0000 2019,930775286,1091659644966240256,39.99719,-82.9303
Fri Feb 01 21:34:52 +0000 2019,930775286,1091449832861061122,39.99443,-82.93385
Fri Feb 01 20:11:46 +0000 2019,930775286,1091428918559674372,39.99443,-82.93385
Fri Feb 01 20:07:50 +0000 2019,930775286,1091427928401944577,39.99443,-82.93385
Sun Feb 10 03:59:27 +0000 2019,14599963,1094445717282684928,40.10328,-82.99897
Fri Feb 08 11:07:09 +0000 2019,820560770052268032,1093828576091295745,40.0932258,-82.9921657
Thu Feb 07 23:08:18 +0000 2019,906334770,1093647669933703168,40.1038284,-82.9981308
Wed Feb 06 00:00:05 +0000 2019,1134851982,1092935926626496515,40.09320325,-82.99187608
Tue Feb 05 17:04:04 +0000 2019,1134851982,1092831231748780032,40.09320325,-82.99187608
Sun Feb 03 01:46:42 +0000 2019,83939074,1091875594726490112,39.9515495,-82.9055405
Sun Feb 03 00:14:52 +0000 2019,32448453,1091852483272589312,39.95638541,-82.92104039
Sat Feb 02 21:37:45 +0000 2019,21195890,1091812942570373120,39.9561205,-82.9164735
